,val,date
0,4.0,2021-08-31
1,36.0,2021-09-01
2,103.0,2021-09-02
3,83.0,2021-09-03
4,88.0,2021-09-04
5,117.0,2021-09-05
6,68.0,2021-09-06
7,73.0,2021-09-07
8,32.0,2021-09-08
9,94.0,2021-09-09
10,161.0,2021-09-10
11,306.0,2021-09-11
12,387.0,2021-09-12
13,234.0,2021-09-13
14,204.0,2021-09-14
15,381.0,2021-09-15
16,431.0,2021-09-16
17,273.0,2021-09-17
18,257.0,2021-09-18
19,382.0,2021-09-19
20,585.0,2021-09-20
21,542.0,2021-09-21
22,307.0,2021-09-22
23,262.0,2021-09-23
24,336.0,2021-09-24
25,279.0,2021-09-25
26,397.0,2021-09-26
27,260.0,2021-09-27
28,384.0,2021-09-28
29,247.0,2021-09-29
30,205.0,2021-09-30
31,214.0,2021-10-01
32,99.0,2021-10-02
33,110.0,2021-10-03
34,196.0,2021-10-04
35,147.0,2021-10-05
36,351.0,2021-10-06
37,132.0,2021-10-07
38,149.0,2021-10-08
39,96.0,2021-10-09
40,200.0,2021-10-10
41,221.0,2021-10-11
42,254.0,2021-10-12
43,254.0,2021-10-13
44,281.0,2021-10-14
45,281.0,2021-10-15
46,264.0,2021-10-16
47,365.0,2021-10-17
48,341.0,2021-10-18
49,256.0,2021-10-19
50,321.0,2021-10-20
51,639.0,2021-10-21
52,491.0,2021-10-22
53,435.0,2021-10-23
54,468.0,2021-10-24
55,265.0,2021-10-25
56,395.0,2021-10-26
57,781.0,2021-10-27
58,491.0,2021-10-28
59,258.0,2021-10-29
60,231.0,2021-10-30
61,366.0,2021-10-31
62,324.0,2021-11-01
63,192.0,2021-11-02
64,234.0,2021-11-03
65,311.0,2021-11-04
66,199.0,2021-11-05
67,256.0,2021-11-06
68,183.0,2021-11-07
69,128.0,2021-11-08
70,261.0,2021-11-09
71,532.0,2021-11-10
72,244.0,2021-11-11
73,414.0,2021-11-12
74,222.0,2021-11-13
75,243.0,2021-11-14
76,489.0,2021-11-15
77,625.0,2021-11-16
78,314.0,2021-11-17
79,471.0,2021-11-18
80,265.0,2021-11-19
81,274.0,2021-11-20
82,411.0,2021-11-21
83,821.0,2021-11-22
84,819.0,2021-11-23
85,857.0,2021-11-24
86,312.0,2021-11-25
87,883.0,2021-11-26
88,338.0,2021-11-27
89,556.0,2021-11-28
90,374.0,2021-11-29
91,587.0,2021-11-30
92,436.0,2021-12-01
93,314.0,2021-12-02
94,768.0,2021-12-03
95,458.0,2021-12-04
96,578.0,2021-12-05
97,652.0,2021-12-06
98,521.0,2021-12-07
99,477.0,2021-12-08
100,789.0,2021-12-09
101,672.0,2021-12-10
102,305.0,2021-12-11
103,284.0,2021-12-12
104,480.0,2021-12-13
105,269.0,2021-12-14
106,485.0,2021-12-15
107,251.0,2021-12-16
108,376.0,2021-12-17
109,184.0,2021-12-18
110,380.0,2021-12-19
111,340.0,2021-12-20
112,195.0,2021-12-21
113,342.0,2021-12-22
114,322.0,2021-12-23
115,303.0,2021-12-24
116,314.0,2021-12-25
117,185.0,2021-12-26
118,340.0,2021-12-27
119,316.0,2021-12-28
