,val,date
0,0.0,2021-08-31
1,0.0,2021-09-01
2,0.0,2021-09-02
3,0.0,2021-09-03
4,0.0,2021-09-04
5,0.0,2021-09-05
6,0.0,2021-09-06
7,0.0,2021-09-07
8,0.0,2021-09-08
9,0.0,2021-09-09
10,0.0,2021-09-10
11,0.0,2021-09-11
12,0.0,2021-09-12
13,0.0,2021-09-13
14,0.0,2021-09-14
15,0.0,2021-09-15
16,0.0,2021-09-16
17,0.0,2021-09-17
18,0.0,2021-09-18
19,0.0,2021-09-19
20,0.0,2021-09-20
21,0.0,2021-09-21
22,0.0,2021-09-22
23,0.0,2021-09-23
24,0.0,2021-09-24
25,0.0,2021-09-25
26,0.0,2021-09-26
27,0.0,2021-09-27
28,0.0,2021-09-28
29,0.0,2021-09-29
30,0.0,2021-09-30
31,0.0,2021-10-01
32,0.0,2021-10-02
33,0.0,2021-10-03
34,0.0,2021-10-04
35,0.0,2021-10-05
36,0.0,2021-10-06
37,0.0,2021-10-07
38,0.0,2021-10-08
39,0.0,2021-10-09
40,0.0,2021-10-10
41,0.0,2021-10-11
42,0.0,2021-10-12
43,0.0,2021-10-13
44,0.0,2021-10-14
45,0.0,2021-10-15
46,0.0,2021-10-16
47,0.0,2021-10-17
48,0.0,2021-10-18
49,0.0,2021-10-19
50,0.0,2021-10-20
51,0.0,2021-10-21
52,0.0,2021-10-22
53,0.0,2021-10-23
54,0.0,2021-10-24
55,0.0,2021-10-25
56,0.0,2021-10-26
57,0.0,2021-10-27
58,0.0,2021-10-28
59,0.0,2021-10-29
60,0.0,2021-10-30
61,0.0,2021-10-31
62,0.0,2021-11-01
63,0.0,2021-11-02
64,0.0,2021-11-03
65,0.0,2021-11-04
66,0.0,2021-11-05
67,0.0,2021-11-06
68,0.0,2021-11-07
69,0.0,2021-11-08
70,0.0,2021-11-09
71,0.0,2021-11-10
72,0.0,2021-11-11
73,0.0,2021-11-12
74,0.0,2021-11-13
75,0.0,2021-11-14
76,0.0,2021-11-15
77,0.0,2021-11-16
78,0.0,2021-11-17
79,0.0,2021-11-18
80,0.0,2021-11-19
81,0.0,2021-11-20
82,0.0,2021-11-21
83,0.0,2021-11-22
84,0.0,2021-11-23
85,0.0,2021-11-24
86,0.0,2021-11-25
87,0.0,2021-11-26
88,0.0,2021-11-27
89,0.0,2021-11-28
90,0.0,2021-11-29
91,0.0,2021-11-30
92,0.0,2021-12-01
93,0.0,2021-12-02
94,0.0,2021-12-03
95,0.0,2021-12-04
96,0.0,2021-12-05
97,0.0,2021-12-06
98,0.0,2021-12-07
99,0.0,2021-12-08
100,0.0,2021-12-09
101,0.0,2021-12-10
102,0.0,2021-12-11
103,0.0,2021-12-12
104,0.0,2021-12-13
105,0.0,2021-12-14
106,0.0,2021-12-15
107,0.0,2021-12-16
108,0.0,2021-12-17
109,0.0,2021-12-18
110,0.0,2021-12-19
111,0.0,2021-12-20
112,0.0,2021-12-21
113,0.0,2021-12-22
114,0.0,2021-12-23
115,0.0,2021-12-24
116,0.0,2021-12-25
117,0.0,2021-12-26
118,0.0,2021-12-27
119,0.0,2021-12-28
120,0.0,2021-12-29
121,0.0,2021-12-30
122,0.0,2021-12-31
123,0.0,2022-01-01
124,0.0,2022-01-02
125,0.0,2022-01-03
126,0.0,2022-01-04
127,0.0,2022-01-05
128,0.0,2022-01-06
129,0.0,2022-01-07
130,0.0,2022-01-08
131,0.0,2022-01-09
132,0.0,2022-01-10
133,0.0,2022-01-11
134,0.0,2022-01-12
135,0.0,2022-01-13
136,0.0,2022-01-14
137,0.0,2022-01-15
138,0.0,2022-01-16
139,0.0,2022-01-17
140,0.0,2022-01-18
141,0.0,2022-01-19
142,0.0,2022-01-20
143,0.0,2022-01-21
144,0.0,2022-01-22
145,0.0,2022-01-23
146,0.0,2022-01-24
147,0.0,2022-01-25
148,0.0,2022-01-26
149,0.0,2022-01-27
150,0.0,2022-01-28
151,0.0,2022-01-29
152,0.0,2022-01-30
153,0.0,2022-01-31
154,140.0,2022-02-01
155,258.0,2022-02-02
156,225.0,2022-02-03
157,93.0,2022-02-04
158,171.0,2022-02-05
159,122.0,2022-02-06
160,212.0,2022-02-07
161,220.0,2022-02-08
162,184.0,2022-02-09
163,220.0,2022-02-10
164,114.0,2022-02-11
165,193.0,2022-02-12
166,100.0,2022-02-13
167,229.0,2022-02-14
168,183.0,2022-02-15
169,221.0,2022-02-16
170,203.0,2022-02-17
171,160.0,2022-02-18
172,170.0,2022-02-19
173,259.0,2022-02-20
174,407.0,2022-02-21
175,275.0,2022-02-22
176,342.0,2022-02-23
177,373.0,2022-02-24
178,255.0,2022-02-25
179,152.0,2022-02-26
180,420.0,2022-02-27
181,240.0,2022-02-28
182,167.0,2022-03-01
183,179.0,2022-03-02
184,56.0,2022-03-03
185,43.0,2022-03-04
186,43.0,2022-03-05
187,161.0,2022-03-06
188,301.0,2022-03-07
189,342.0,2022-03-08
190,130.0,2022-03-09
191,230.0,2022-03-10
192,252.0,2022-03-11
193,151.0,2022-03-12
194,243.0,2022-03-13
195,275.0,2022-03-14
196,335.0,2022-03-15
197,318.0,2022-03-16
198,132.0,2022-03-17
199,216.0,2022-03-18
200,301.0,2022-03-19
201,202.0,2022-03-20
202,321.0,2022-03-21
203,209.0,2022-03-22
204,551.0,2022-03-23
205,316.0,2022-03-24
206,227.0,2022-03-25
207,149.0,2022-03-26
208,324.0,2022-03-27
209,374.0,2022-03-28
210,359.0,2022-03-29
211,319.0,2022-03-30
212,228.0,2022-03-31
213,62.0,2022-04-01
214,124.0,2022-04-02
215,212.0,2022-04-03
216,154.0,2022-04-04
217,327.0,2022-04-05
218,485.0,2022-04-06
219,292.0,2022-04-07
220,263.0,2022-04-08
221,114.0,2022-04-09
222,212.0,2022-04-10
223,381.0,2022-04-11
224,339.0,2022-04-12
225,275.0,2022-04-13
226,451.0,2022-04-14
227,142.0,2022-04-15
228,230.0,2022-04-16
229,223.0,2022-04-17
230,329.0,2022-04-18
231,288.0,2022-04-19
232,765.0,2022-04-20
233,454.0,2022-04-21
234,387.0,2022-04-22
235,558.0,2022-04-23
236,754.0,2022-04-24
237,729.0,2022-04-25
238,682.0,2022-04-26
239,608.0,2022-04-27
240,420.0,2022-04-28
241,169.0,2022-04-29
242,352.0,2022-04-30
243,422.0,2022-05-01
244,450.0,2022-05-02
245,428.0,2022-05-03
246,308.0,2022-05-04
247,317.0,2022-05-05
248,682.0,2022-05-06
249,558.0,2022-05-07
250,443.0,2022-05-08
251,858.0,2022-05-09
252,892.0,2022-05-10
253,1090.0,2022-05-11
254,1037.0,2022-05-12
255,568.0,2022-05-13
256,553.0,2022-05-14
257,551.0,2022-05-15
258,692.0,2022-05-16
259,405.0,2022-05-17
260,403.0,2022-05-18
261,403.0,2022-05-19
262,422.0,2022-05-20
263,611.0,2022-05-21
264,399.0,2022-05-22
265,603.0,2022-05-23
266,743.0,2022-05-24
267,483.0,2022-05-25
268,804.0,2022-05-26
269,260.0,2022-05-27
270,316.0,2022-05-28
271,417.0,2022-05-29
272,311.0,2022-05-30
273,5671.0,2022-05-31
274,4978.0,2022-06-01
275,3275.0,2022-06-02
276,1845.0,2022-06-03
277,1047.0,2022-06-04
278,1363.0,2022-06-05
279,1646.0,2022-06-06
280,1751.0,2022-06-07
281,2286.0,2022-06-08
282,1378.0,2022-06-09
283,1368.0,2022-06-10
284,2025.0,2022-06-11
285,2375.0,2022-06-12
286,4305.0,2022-06-13
287,2741.0,2022-06-14
288,3337.0,2022-06-15
289,1747.0,2022-06-16
290,936.0,2022-06-17
291,2198.0,2022-06-18
292,962.0,2022-06-19
293,0.0,2022-06-20
294,0.0,2022-06-21
295,0.0,2022-06-22
296,1153.0,2022-06-23
297,1627.0,2022-06-24
298,788.0,2022-06-25
299,1113.0,2022-06-26
300,1104.0,2022-06-27
301,1031.0,2022-06-28
302,1465.0,2022-06-29
303,2044.0,2022-06-30
304,1810.0,2022-07-01
305,1152.0,2022-07-02
306,872.0,2022-07-03
307,1612.0,2022-07-04
308,2126.0,2022-07-05
309,1679.0,2022-07-06
310,1398.0,2022-07-07
311,1885.0,2022-07-08
312,995.0,2022-07-09
313,1190.0,2022-07-10
314,980.0,2022-07-11
315,1260.0,2022-07-12
316,1667.0,2022-07-13
317,1843.0,2022-07-14
318,1851.0,2022-07-15
319,2453.0,2022-07-16
320,2974.0,2022-07-17
321,4119.0,2022-07-18
322,3242.0,2022-07-19
323,3347.0,2022-07-20
324,2687.0,2022-07-21
325,2416.0,2022-07-22
326,2081.0,2022-07-23
327,2493.0,2022-07-24
328,2413.0,2022-07-25
329,1908.0,2022-07-26
330,2981.0,2022-07-27
331,4306.0,2022-07-28
332,3895.0,2022-07-29
333,2562.0,2022-07-30
334,1763.0,2022-07-31
335,2496.0,2022-08-01
336,3336.0,2022-08-02
337,2891.0,2022-08-03
338,2358.0,2022-08-04
339,2420.0,2022-08-05
340,1323.0,2022-08-06
341,877.0,2022-08-07
342,1308.0,2022-08-08
343,1579.0,2022-08-09
344,1934.0,2022-08-10
345,1501.0,2022-08-11
346,1811.0,2022-08-12
347,907.0,2022-08-13
348,1689.0,2022-08-14
349,2635.0,2022-08-15
350,2191.0,2022-08-16
351,2216.0,2022-08-17
352,2017.0,2022-08-18
353,2923.0,2022-08-19
354,1846.0,2022-08-20
355,2029.0,2022-08-21
356,2563.0,2022-08-22
357,2906.0,2022-08-23
358,1690.0,2022-08-24
359,1562.0,2022-08-25
360,3236.0,2022-08-26
361,2091.0,2022-08-27
362,2417.0,2022-08-28
363,2595.0,2022-08-29
364,3686.0,2022-08-30
365,3841.0,2022-08-31
366,0.0,2022-09-01
367,0.0,2022-09-02
368,0.0,2022-09-03
369,0.0,2022-09-04
370,0.0,2022-09-05
371,0.0,2022-09-06
372,0.0,2022-09-07
373,0.0,2022-09-08
374,0.0,2022-09-09
375,0.0,2022-09-10
376,0.0,2022-09-11
377,0.0,2022-09-12
378,0.0,2022-09-13
379,0.0,2022-09-14
380,0.0,2022-09-15
381,0.0,2022-09-16
382,0.0,2022-09-17
383,0.0,2022-09-18
384,0.0,2022-09-19
385,0.0,2022-09-20
386,0.0,2022-09-21
387,0.0,2022-09-22
388,0.0,2022-09-23
