,val,date
0,1.0,2021-12-20
1,103.49020209749386,2021-12-21
2,2619.568232326695,2021-12-22
3,11190.695825083514,2021-12-23
4,10303.275726604217,2021-12-24
5,10248.861248002488,2021-12-25
6,11534.583117286684,2021-12-26
7,11974.924491555228,2021-12-27
8,16479.573628850758,2021-12-28
9,18754.519381957332,2021-12-29
10,15220.37698154292,2021-12-30
11,11972.804834460288,2021-12-31
12,36507.95961096658,2022-01-01
13,17037.48209008174,2022-01-02
14,16955.640173914075,2022-01-03
15,10833.64766745686,2022-01-04
16,17652.11790928224,2022-01-05
17,23665.246726402172,2022-01-06
18,20376.782331448972,2022-01-07
19,26309.615847650708,2022-01-08
20,22036.569827587966,2022-01-09
21,35357.136572166164,2022-01-10
22,33975.54723821052,2022-01-11
23,28772.552797627948,2022-01-12
24,34527.80050843333,2022-01-13
25,31472.531796647327,2022-01-14
26,21673.871619017056,2022-01-15
27,28493.821679990568,2022-01-16
28,28557.819430367443,2022-01-17
29,23088.947066701567,2022-01-18
30,20872.12623627079,2022-01-19
31,29290.99232751454,2022-01-20
32,39994.37505166965,2022-01-21
33,40831.95849595194,2022-01-22
34,30888.079394756052,2022-01-23
35,44386.99067808791,2022-01-24
36,41514.250841532186,2022-01-25
37,52976.140215881635,2022-01-26
38,51930.085937472206,2022-01-27
39,38819.97908289313,2022-01-28
40,22483.292685131615,2022-01-29
41,24735.362029506334,2022-01-30
42,22187.088270440592,2022-01-31
43,25880.5448056135,2022-02-01
44,16928.26105425281,2022-02-02
45,13245.950788136419,2022-02-03
46,15224.862042562421,2022-02-04
47,13279.7618383153,2022-02-05
48,14553.682278948761,2022-02-06
49,19874.442868164704,2022-02-07
50,18547.49511607123,2022-02-08
51,15463.684400632033,2022-02-09
52,21973.630082629454,2022-02-10
53,19239.99958782951,2022-02-11
54,17687.52899106133,2022-02-12
55,14452.766611235047,2022-02-13
56,16968.00995443369,2022-02-14
57,15898.21063596384,2022-02-15
58,15763.39395888534,2022-02-16
59,15780.742808844849,2022-02-17
60,12541.900612563288,2022-02-18
61,14604.675204369785,2022-02-19
62,16226.063627479916,2022-02-20
63,24055.853491450333,2022-02-21
64,16277.370657291716,2022-02-22
65,20548.5606147759,2022-02-23
66,21917.00208114412,2022-02-24
67,17984.355144564914,2022-02-25
68,12069.658053140673,2022-02-26
69,17797.601557415626,2022-02-27
70,18081.331351646288,2022-02-28
71,47342.823686896896,2022-03-01
72,19695.65362827744,2022-03-02
73,14786.031968077468,2022-03-03
74,15879.92973473259,2022-03-04
75,8614.240283610943,2022-03-05
76,14377.465269149114,2022-03-06
77,20775.69514730596,2022-03-07
78,18335.795770902867,2022-03-08
79,14714.941778327857,2022-03-09
80,10437.174926154485,2022-03-10
81,11594.656444390566,2022-03-11
82,4225.6777963806235,2022-03-12
83,9476.159039839153,2022-03-13
84,10657.925605763498,2022-03-14
85,14245.476124168326,2022-03-15
86,15954.698917509377,2022-03-16
87,10886.29036930746,2022-03-17
88,12139.284471246969,2022-03-18
89,12795.26488345665,2022-03-19
90,12120.103278458526,2022-03-20
91,14375.582741361948,2022-03-21
92,11654.412798931091,2022-03-22
93,14391.748575919388,2022-03-23
94,14358.300083234348,2022-03-24
95,13483.786814229397,2022-03-25
96,7259.185099895294,2022-03-26
97,13061.62388846033,2022-03-27
98,16557.99910413426,2022-03-28
99,19291.78897427593,2022-03-29
100,16642.04428963579,2022-03-30
101,20980.83760717752,2022-03-31
102,38701.71964325414,2022-04-01
103,17160.03386429761,2022-04-02
104,13593.996336662178,2022-04-03
105,15503.84274618085,2022-04-04
106,16608.104290052488,2022-04-05
107,23635.89096639801,2022-04-06
108,16567.58480348675,2022-04-07
109,15434.806700942638,2022-04-08
110,7652.217153718328,2022-04-09
111,10618.751396702892,2022-04-10
112,21249.06683088767,2022-04-11
113,17710.176316143054,2022-04-12
114,12474.870737152985,2022-04-13
115,11867.153674353747,2022-04-14
116,8527.492395751318,2022-04-15
117,6628.342704769803,2022-04-16
118,9353.923927013366,2022-04-17
119,14321.714717595465,2022-04-18
120,12351.424904456535,2022-04-19
121,13213.060244891834,2022-04-20
122,17271.157659719433,2022-04-21
123,19819.183526205572,2022-04-22
124,9147.691433086837,2022-04-23
125,11029.644482962656,2022-04-24
126,14931.346585779618,2022-04-25
127,16983.282862908378,2022-04-26
128,14812.094727618914,2022-04-27
129,12693.044997621595,2022-04-28
130,16306.718861209327,2022-04-29
131,16872.875084618016,2022-04-30
132,33592.92264298892,2022-05-01
133,18216.870204661733,2022-05-02
134,11996.861626403663,2022-05-03
135,13173.520988832985,2022-05-04
136,17810.074385321983,2022-05-05
137,19186.537576695948,2022-05-06
138,16910.803562645928,2022-05-07
139,21725.308310922235,2022-05-08
140,47965.885893298226,2022-05-09
141,46470.72891728713,2022-05-10
142,61619.588860336145,2022-05-11
143,48015.561391422845,2022-05-12
144,37005.91566231471,2022-05-13
145,24770.793255894994,2022-05-14
146,18105.259495912887,2022-05-15
147,20125.285487044694,2022-05-16
148,19467.656471813767,2022-05-17
149,21535.358795768454,2022-05-18
150,21793.96486224242,2022-05-19
151,24293.565571892952,2022-05-20
152,11171.791055341577,2022-05-21
153,14931.129144885712,2022-05-22
154,19747.740195897644,2022-05-23
155,19255.915661544965,2022-05-24
156,16709.29944144628,2022-05-25
157,28593.231362067487,2022-05-26
158,23634.36307623902,2022-05-27
159,12339.943054825946,2022-05-28
160,12096.683622154496,2022-05-29
161,18255.792062749108,2022-05-30
162,20909.05358279589,2022-05-31
163,45257.92412920625,2022-06-01
164,12835.75175315006,2022-06-02
165,14976.107629263142,2022-06-03
166,8603.56025785977,2022-06-04
167,12614.056435159944,2022-06-05
168,19964.806221607538,2022-06-06
169,19119.66127228692,2022-06-07
170,13760.740943537045,2022-06-08
171,15223.713157874106,2022-06-09
172,16659.98011893154,2022-06-10
173,23789.690839074457,2022-06-11
174,27843.302905804863,2022-06-12
175,45192.17002895061,2022-06-13
176,34977.47591862316,2022-06-14
177,41833.23308622201,2022-06-15
178,31843.737380024217,2022-06-16
