,val,date
0,0.0,2021-12-20
1,15.0,2021-12-21
2,499.0,2021-12-22
3,2156.0,2021-12-23
4,2067.0,2021-12-24
5,1997.0,2021-12-25
6,2320.0,2021-12-26
7,2330.0,2021-12-27
8,3542.0,2021-12-28
9,3933.0,2021-12-29
10,3346.0,2021-12-30
11,2936.0,2021-12-31
12,8546.0,2022-01-01
13,3441.0,2022-01-02
14,3535.0,2022-01-03
15,2310.0,2022-01-04
16,4144.0,2022-01-05
17,6484.0,2022-01-06
18,5237.0,2022-01-07
19,6005.0,2022-01-08
20,5309.0,2022-01-09
21,8221.0,2022-01-10
22,7840.0,2022-01-11
23,6473.0,2022-01-12
24,7527.0,2022-01-13
25,7408.0,2022-01-14
26,5030.0,2022-01-15
27,6427.0,2022-01-16
28,6246.0,2022-01-17
29,5217.0,2022-01-18
30,4652.0,2022-01-19
31,6672.0,2022-01-20
32,8976.0,2022-01-21
33,10018.0,2022-01-22
34,7325.0,2022-01-23
35,10745.0,2022-01-24
36,10120.0,2022-01-25
37,11706.0,2022-01-26
38,12533.0,2022-01-27
39,9385.0,2022-01-28
40,5076.0,2022-01-29
41,5614.0,2022-01-30
42,4763.0,2022-01-31
43,6038.0,2022-02-01
44,3862.0,2022-02-02
45,3000.0,2022-02-03
46,3371.0,2022-02-04
47,2945.0,2022-02-05
48,3338.0,2022-02-06
49,4775.0,2022-02-07
50,4217.0,2022-02-08
51,3628.0,2022-02-09
52,5203.0,2022-02-10
53,4852.0,2022-02-11
54,4531.0,2022-02-12
55,3515.0,2022-02-13
56,3981.0,2022-02-14
57,3812.0,2022-02-15
58,3891.0,2022-02-16
59,3566.0,2022-02-17
60,2914.0,2022-02-18
61,3391.0,2022-02-19
62,3752.0,2022-02-20
63,5605.0,2022-02-21
64,3831.0,2022-02-22
65,4835.0,2022-02-23
66,5189.0,2022-02-24
67,4385.0,2022-02-25
68,2889.0,2022-02-26
69,4409.0,2022-02-27
70,4467.0,2022-02-28
71,12128.0,2022-03-01
72,4923.0,2022-03-02
73,3832.0,2022-03-03
74,3929.0,2022-03-04
75,2193.0,2022-03-05
76,3573.0,2022-03-06
77,5105.0,2022-03-07
78,4475.0,2022-03-08
79,3531.0,2022-03-09
80,2578.0,2022-03-10
81,2917.0,2022-03-11
82,1109.0,2022-03-12
83,2222.0,2022-03-13
84,2562.0,2022-03-14
85,3314.0,2022-03-15
86,3715.0,2022-03-16
87,2570.0,2022-03-17
88,2910.0,2022-03-18
89,3027.0,2022-03-19
90,2857.0,2022-03-20
91,3322.0,2022-03-21
92,2730.0,2022-03-22
93,3534.0,2022-03-23
94,3454.0,2022-03-24
95,3381.0,2022-03-25
96,1656.0,2022-03-26
97,3086.0,2022-03-27
98,3963.0,2022-03-28
99,4783.0,2022-03-29
100,4256.0,2022-03-30
101,5349.0,2022-03-31
102,9339.0,2022-04-01
103,4130.0,2022-04-02
104,3241.0,2022-04-03
105,3696.0,2022-04-04
106,3920.0,2022-04-05
107,5938.0,2022-04-06
108,3900.0,2022-04-07
109,3818.0,2022-04-08
110,1814.0,2022-04-09
111,2458.0,2022-04-10
112,5166.0,2022-04-11
113,4094.0,2022-04-12
114,2756.0,2022-04-13
115,2770.0,2022-04-14
116,1861.0,2022-04-15
117,1343.0,2022-04-16
118,1961.0,2022-04-17
119,3268.0,2022-04-18
120,2789.0,2022-04-19
121,2836.0,2022-04-20
122,3738.0,2022-04-21
123,4368.0,2022-04-22
124,1897.0,2022-04-23
125,2392.0,2022-04-24
126,3312.0,2022-04-25
127,3868.0,2022-04-26
128,3237.0,2022-04-27
129,2744.0,2022-04-28
130,3442.0,2022-04-29
131,3512.0,2022-04-30
132,7221.0,2022-05-01
133,3908.0,2022-05-02
134,2607.0,2022-05-03
135,2663.0,2022-05-04
136,3715.0,2022-05-05
137,4382.0,2022-05-06
138,3661.0,2022-05-07
139,4968.0,2022-05-08
140,11747.0,2022-05-09
141,11458.0,2022-05-10
142,13816.0,2022-05-11
143,11282.0,2022-05-12
144,8677.0,2022-05-13
145,5625.0,2022-05-14
146,4109.0,2022-05-15
147,4514.0,2022-05-16
148,4427.0,2022-05-17
149,4901.0,2022-05-18
150,4943.0,2022-05-19
151,5472.0,2022-05-20
152,2612.0,2022-05-21
153,3236.0,2022-05-22
154,4383.0,2022-05-23
155,4331.0,2022-05-24
156,3806.0,2022-05-25
157,6453.0,2022-05-26
158,5575.0,2022-05-27
159,2881.0,2022-05-28
160,2748.0,2022-05-29
161,4284.0,2022-05-30
162,4852.0,2022-05-31
163,10775.0,2022-06-01
164,3257.0,2022-06-02
165,3595.0,2022-06-03
