,val,date
0,6740.347527228799,2021-06-01
1,3171.2625224799567,2021-06-02
2,4611.2400513669545,2021-06-03
3,3485.132441087837,2021-06-04
4,3392.9894867771436,2021-06-05
5,2959.0537170813045,2021-06-06
6,5345.4519398233815,2021-06-07
7,6592.1760610547835,2021-06-08
8,5436.985229052864,2021-06-09
9,5883.871401606855,2021-06-10
10,7412.689257866183,2021-06-11
11,6231.654566517231,2021-06-12
12,5071.228222785219,2021-06-13
13,5779.185399793085,2021-06-14
14,6395.096638742601,2021-06-15
15,6619.326794843258,2021-06-16
16,5889.160923827723,2021-06-17
17,7766.280589929002,2021-06-18
18,6061.905885518135,2021-06-19
19,7422.478966628153,2021-06-20
20,12064.937457596432,2021-06-21
21,12376.120014954588,2021-06-22
22,7316.032159191265,2021-06-23
23,7326.897973009574,2021-06-24
24,10729.088512600429,2021-06-25
25,10107.61360698816,2021-06-26
26,7414.555906528263,2021-06-27
27,9277.800609329439,2021-06-28
28,9216.692374821547,2021-06-29
29,8114.291939765611,2021-06-30
30,15897.929798041152,2021-07-01
31,7021.245862305638,2021-07-02
32,5684.165360386043,2021-07-03
33,7397.207927181142,2021-07-04
34,6639.989813062404,2021-07-05
35,6523.651814779692,2021-07-06
36,5592.982664982014,2021-07-07
37,7387.749606338759,2021-07-08
38,4929.764276208796,2021-07-09
39,5342.682214423961,2021-07-10
40,6464.012681673113,2021-07-11
41,6778.036410500325,2021-07-12
42,11121.373063062954,2021-07-13
43,9416.282263946121,2021-07-14
44,9642.217391309645,2021-07-15
45,8964.824828841512,2021-07-16
46,8682.579066286558,2021-07-17
47,8098.8472377063,2021-07-18
48,8945.573983260232,2021-07-19
49,8313.394749712743,2021-07-20
50,6887.185499460698,2021-07-21
51,6967.643586152867,2021-07-22
52,7305.136600706885,2021-07-23
53,6097.55335300828,2021-07-24
54,7637.497831597885,2021-07-25
55,9334.352958106636,2021-07-26
56,8017.877589443369,2021-07-27
57,8508.778178632718,2021-07-28
58,7923.790545516543,2021-07-29
59,7357.680126028843,2021-07-30
60,7116.399121554137,2021-07-31
61,14075.875691699533,2021-08-01
62,7250.18735440151,2021-08-02
63,6410.432919387678,2021-08-03
64,7945.481953664457,2021-08-04
65,6516.729295586694,2021-08-05
66,5585.25872991149,2021-08-06
67,8280.300200104371,2021-08-07
68,8096.410867989061,2021-08-08
69,5622.847824305869,2021-08-09
70,7304.609563887525,2021-08-10
71,6740.022669413485,2021-08-11
72,6081.63276489659,2021-08-12
73,4964.826335571747,2021-08-13
74,5565.613023519467,2021-08-14
75,5057.432039795947,2021-08-15
76,6393.600059658983,2021-08-16
77,7885.974364415555,2021-08-17
78,7289.483793243085,2021-08-18
79,6787.542477860382,2021-08-19
80,6483.457137156921,2021-08-20
81,6708.631253335391,2021-08-21
82,8398.955020031119,2021-08-22
83,6608.28051865859,2021-08-23
84,7035.035987827088,2021-08-24
85,7564.349067831964,2021-08-25
86,6366.015403896044,2021-08-26
87,4610.2043510825715,2021-08-27
88,5154.814636630107,2021-08-28
89,6070.145091341602,2021-08-29
90,5945.749174959341,2021-08-30
91,7709.041600612498,2021-08-31
92,12546.471212361903,2021-09-01
93,5674.584324881513,2021-09-02
94,7183.427373555296,2021-09-03
95,6816.218258736478,2021-09-04
96,6309.4730761569635,2021-09-05
97,6954.416809196445,2021-09-06
98,9904.048237718347,2021-09-07
99,11919.207728281594,2021-09-08
100,8312.342040967158,2021-09-09
101,9820.76050128097,2021-09-10
102,6914.8732572198305,2021-09-11
103,6798.658034441737,2021-09-12
104,7203.233845238296,2021-09-13
105,7202.021964407298,2021-09-14
106,7709.003448592184,2021-09-15
107,6314.575652081423,2021-09-16
108,7166.663840372829,2021-09-17
109,5823.231686835257,2021-09-18
110,6762.318543265428,2021-09-19
111,10163.171705869685,2021-09-20
112,9492.384403994603,2021-09-21
113,6995.659634220793,2021-09-22
114,5901.77157228277,2021-09-23
115,8048.111421978369,2021-09-24
116,5926.9627188265895,2021-09-25
117,7411.614825848628,2021-09-26
118,5479.091888292805,2021-09-27
119,6957.61777245347,2021-09-28
120,5833.53976652219,2021-09-29
121,5215.567012002631,2021-09-30
122,14620.929193616264,2021-10-01
123,5975.1146625637675,2021-10-02
124,5442.843965071547,2021-10-03
125,6372.875676329241,2021-10-04
126,6375.472876818428,2021-10-05
127,6478.067921690192,2021-10-06
128,6919.301117477831,2021-10-07
129,5546.57005983698,2021-10-08
130,5799.803785796315,2021-10-09
131,7135.992696939822,2021-10-10
132,7608.094116343581,2021-10-11
133,6389.462051602468,2021-10-12
134,6409.427011374986,2021-10-13
135,6628.590258857556,2021-10-14
136,6745.199141198351,2021-10-15
137,4986.022676434228,2021-10-16
138,6211.0751191212075,2021-10-17
139,6133.135475737734,2021-10-18
140,5845.015792197955,2021-10-19
141,7824.7966512111325,2021-10-20
142,7307.562117480946,2021-10-21
143,6088.298023247281,2021-10-22
144,6042.139685204769,2021-10-23
145,6040.025062700704,2021-10-24
146,6379.2717060831765,2021-10-25
147,6007.064584868941,2021-10-26
148,8496.999986314604,2021-10-27
149,6757.553751253523,2021-10-28
150,5072.636165855758,2021-10-29
151,5362.444300121655,2021-10-30
152,6640.884798926574,2021-10-31
153,10373.205749289913,2021-11-01
154,7265.54123108144,2021-11-02
155,6940.141177985554,2021-11-03
156,7599.171891584814,2021-11-04
157,6322.146353619913,2021-11-05
158,6578.676869436287,2021-11-06
159,6275.648496237803,2021-11-07
160,7520.366820666476,2021-11-08
161,9631.640916160974,2021-11-09
162,7920.687150491228,2021-11-10
163,6740.996569236869,2021-11-11
164,6084.2338130426715,2021-11-12
165,5750.36395613289,2021-11-13
166,4855.617149121576,2021-11-14
167,7624.60399294953,2021-11-15
168,8303.864487151654,2021-11-16
169,6435.905074016993,2021-11-17
170,7520.768833943079,2021-11-18
171,6450.26872475543,2021-11-19
172,6293.73564529606,2021-11-20
173,6512.761951657355,2021-11-21
174,6155.762181230438,2021-11-22
175,7431.150263483953,2021-11-23
176,8557.314595483918,2021-11-24
177,9144.509351670935,2021-11-25
178,10528.8068152785,2021-11-26
179,8129.477946307391,2021-11-27
180,6520.485564058531,2021-11-28
181,6788.527015398232,2021-11-29
182,7396.091836998605,2021-11-30
183,13912.127286543791,2021-12-01
184,6126.0552469073755,2021-12-02
185,10092.0799204643,2021-12-03
186,8982.731643304038,2021-12-04
187,7200.662002575743,2021-12-05
188,8483.213799768677,2021-12-06
189,6793.453918073973,2021-12-07
190,6212.47567253179,2021-12-08
191,7495.130418360486,2021-12-09
192,7195.986224484722,2021-12-10
193,5551.539726780696,2021-12-11
194,4869.527111697609,2021-12-12
195,7755.568633158222,2021-12-13
196,5388.84671657546,2021-12-14
197,5901.615946689473,2021-12-15
198,4755.046835605419,2021-12-16
199,5851.649958713015,2021-12-17
200,4941.728819189917,2021-12-18
201,5434.0889685553075,2021-12-19
202,5548.093052299666,2021-12-20
203,5073.542809602212,2021-12-21
204,5509.198374578886,2021-12-22
205,6279.151602625598,2021-12-23
206,6785.81948404806,2021-12-24
207,8450.360458376337,2021-12-25
208,5775.258824413871,2021-12-26
209,6168.375082970271,2021-12-27
210,5489.883943822296,2021-12-28
211,7750.874625392582,2021-12-29
212,5820.643333260232,2021-12-30
213,6013.869507223678,2021-12-31
214,19986.553138221454,2022-01-01
215,9663.731237575483,2022-01-02
216,11414.218734493063,2022-01-03
217,10344.821541841831,2022-01-04
218,14514.598230201573,2022-01-05
219,16498.877206067995,2022-01-06
220,12363.25391121294,2022-01-07
221,11588.16520014697,2022-01-08
222,8482.311150041623,2022-01-09
223,13576.577002624235,2022-01-10
224,11501.672213087257,2022-01-11
225,10317.075787288162,2022-01-12
226,9740.91685883091,2022-01-13
227,8694.184603707115,2022-01-14
228,7212.418762252221,2022-01-15
229,13242.487435221694,2022-01-16
230,11888.811759551254,2022-01-17
231,13516.587690964923,2022-01-18
232,10980.665672385052,2022-01-19
233,17366.119770103098,2022-01-20
234,19856.316695177564,2022-01-21
235,16760.838472913147,2022-01-22
236,9865.85038219231,2022-01-23
237,16184.489024736762,2022-01-24
238,12365.336669089897,2022-01-25
239,13966.188262827663,2022-01-26
240,11458.882923436691,2022-01-27
241,7503.169997093204,2022-01-28
242,7213.886209040992,2022-01-29
243,6952.583873631854,2022-01-30
244,7586.031845661774,2022-01-31
245,7713.11206987121,2022-02-01
246,5052.116652860554,2022-02-02
247,4768.629061273982,2022-02-03
248,5927.316565389036,2022-02-04
249,4253.5113011301755,2022-02-05
250,4942.3481325361045,2022-02-06
251,5187.291510881495,2022-02-07
252,5521.360801377032,2022-02-08
253,5059.053419384399,2022-02-09
254,5829.614380114646,2022-02-10
255,5746.236472866641,2022-02-11
256,4057.2965694323375,2022-02-12
257,4859.748956800969,2022-02-13
258,4987.256501375684,2022-02-14
259,4285.985587549198,2022-02-15
260,4552.167010188464,2022-02-16
261,5314.6452632738,2022-02-17
