,val,date
0,1457.0,2021-06-01
1,573.0,2021-06-02
2,852.0,2021-06-03
3,628.0,2021-06-04
4,585.0,2021-06-05
5,460.0,2021-06-06
6,869.0,2021-06-07
7,1107.0,2021-06-08
8,921.0,2021-06-09
9,950.0,2021-06-10
10,1270.0,2021-06-11
11,1046.0,2021-06-12
12,848.0,2021-06-13
13,1034.0,2021-06-14
14,1099.0,2021-06-15
15,1164.0,2021-06-16
16,1074.0,2021-06-17
17,1454.0,2021-06-18
18,1133.0,2021-06-19
19,1458.0,2021-06-20
20,2558.0,2021-06-21
21,2627.0,2021-06-22
22,1661.0,2021-06-23
23,1479.0,2021-06-24
24,2278.0,2021-06-25
25,2046.0,2021-06-26
26,1408.0,2021-06-27
27,1816.0,2021-06-28
28,1803.0,2021-06-29
29,1603.0,2021-06-30
30,3080.0,2021-07-01
31,1291.0,2021-07-02
32,976.0,2021-07-03
33,1302.0,2021-07-04
34,1197.0,2021-07-05
35,1211.0,2021-07-06
36,1023.0,2021-07-07
37,1441.0,2021-07-08
38,1089.0,2021-07-09
39,1019.0,2021-07-10
40,1140.0,2021-07-11
41,1208.0,2021-07-12
42,2005.0,2021-07-13
43,1690.0,2021-07-14
44,1818.0,2021-07-15
45,1687.0,2021-07-16
46,1633.0,2021-07-17
47,1487.0,2021-07-18
48,1643.0,2021-07-19
49,1576.0,2021-07-20
50,1310.0,2021-07-21
51,1355.0,2021-07-22
52,1397.0,2021-07-23
53,1034.0,2021-07-24
54,1359.0,2021-07-25
55,1808.0,2021-07-26
56,1598.0,2021-07-27
57,1685.0,2021-07-28
58,1482.0,2021-07-29
59,1318.0,2021-07-30
60,1265.0,2021-07-31
61,2526.0,2021-08-01
62,1434.0,2021-08-02
63,1239.0,2021-08-03
64,1604.0,2021-08-04
65,1372.0,2021-08-05
66,1138.0,2021-08-06
67,1741.0,2021-08-07
68,1694.0,2021-08-08
69,1200.0,2021-08-09
70,1477.0,2021-08-10
71,1289.0,2021-08-11
72,1270.0,2021-08-12
73,888.0,2021-08-13
74,1005.0,2021-08-14
75,1012.0,2021-08-15
76,1224.0,2021-08-16
77,1529.0,2021-08-17
78,1376.0,2021-08-18
79,1261.0,2021-08-19
80,1197.0,2021-08-20
81,1203.0,2021-08-21
82,1542.0,2021-08-22
83,1202.0,2021-08-23
84,1341.0,2021-08-24
85,1379.0,2021-08-25
86,1274.0,2021-08-26
87,867.0,2021-08-27
88,971.0,2021-08-28
89,1089.0,2021-08-29
90,1123.0,2021-08-30
91,1636.0,2021-08-31
92,2383.0,2021-09-01
93,949.0,2021-09-02
94,1321.0,2021-09-03
95,1176.0,2021-09-04
96,1080.0,2021-09-05
97,1224.0,2021-09-06
98,2012.0,2021-09-07
99,2504.0,2021-09-08
100,1652.0,2021-09-09
101,1917.0,2021-09-10
102,1324.0,2021-09-11
103,1319.0,2021-09-12
104,1403.0,2021-09-13
105,1420.0,2021-09-14
106,1517.0,2021-09-15
107,1070.0,2021-09-16
108,1417.0,2021-09-17
109,1079.0,2021-09-18
110,1316.0,2021-09-19
111,2002.0,2021-09-20
112,1981.0,2021-09-21
113,1360.0,2021-09-22
114,1052.0,2021-09-23
115,1625.0,2021-09-24
116,1112.0,2021-09-25
117,1396.0,2021-09-26
118,1040.0,2021-09-27
119,1387.0,2021-09-28
120,1103.0,2021-09-29
121,979.0,2021-09-30
122,2752.0,2021-10-01
123,1108.0,2021-10-02
124,957.0,2021-10-03
125,1168.0,2021-10-04
126,1088.0,2021-10-05
127,1203.0,2021-10-06
128,1199.0,2021-10-07
129,960.0,2021-10-08
130,976.0,2021-10-09
131,1257.0,2021-10-10
132,1349.0,2021-10-11
133,1112.0,2021-10-12
134,1150.0,2021-10-13
135,1186.0,2021-10-14
136,1184.0,2021-10-15
137,882.0,2021-10-16
138,1159.0,2021-10-17
139,1142.0,2021-10-18
140,1074.0,2021-10-19
141,1511.0,2021-10-20
142,1515.0,2021-10-21
143,1209.0,2021-10-22
144,1170.0,2021-10-23
145,1120.0,2021-10-24
146,1154.0,2021-10-25
147,1083.0,2021-10-26
148,1607.0,2021-10-27
149,1332.0,2021-10-28
150,889.0,2021-10-29
151,836.0,2021-10-30
152,1128.0,2021-10-31
153,1733.0,2021-11-01
154,1217.0,2021-11-02
155,1145.0,2021-11-03
156,1276.0,2021-11-04
157,1007.0,2021-11-05
158,1105.0,2021-11-06
159,1026.0,2021-11-07
160,1113.0,2021-11-08
161,1480.0,2021-11-09
162,1370.0,2021-11-10
163,1135.0,2021-11-11
164,1093.0,2021-11-12
165,924.0,2021-11-13
166,830.0,2021-11-14
167,1341.0,2021-11-15
168,1652.0,2021-11-16
169,1123.0,2021-11-17
170,1380.0,2021-11-18
171,1016.0,2021-11-19
172,976.0,2021-11-20
173,1065.0,2021-11-21
174,1078.0,2021-11-22
175,1362.0,2021-11-23
176,1404.0,2021-11-24
177,1545.0,2021-11-25
178,1760.0,2021-11-26
179,1244.0,2021-11-27
180,1036.0,2021-11-28
181,1143.0,2021-11-29
182,1453.0,2021-11-30
183,2572.0,2021-12-01
184,1065.0,2021-12-02
185,2046.0,2021-12-03
186,1863.0,2021-12-04
187,1466.0,2021-12-05
188,1627.0,2021-12-06
189,1238.0,2021-12-07
190,1146.0,2021-12-08
191,1398.0,2021-12-09
192,1435.0,2021-12-10
193,972.0,2021-12-11
194,854.0,2021-12-12
195,1513.0,2021-12-13
196,957.0,2021-12-14
197,1067.0,2021-12-15
198,862.0,2021-12-16
199,1155.0,2021-12-17
200,943.0,2021-12-18
201,1037.0,2021-12-19
202,1046.0,2021-12-20
203,908.0,2021-12-21
204,954.0,2021-12-22
205,1065.0,2021-12-23
206,993.0,2021-12-24
207,1211.0,2021-12-25
208,876.0,2021-12-26
209,993.0,2021-12-27
210,872.0,2021-12-28
211,1270.0,2021-12-29
212,938.0,2021-12-30
213,986.0,2021-12-31
214,3161.0,2022-01-01
215,1418.0,2022-01-02
216,1837.0,2022-01-03
217,1638.0,2022-01-04
218,2470.0,2022-01-05
219,2997.0,2022-01-06
220,2202.0,2022-01-07
221,1978.0,2022-01-08
222,1399.0,2022-01-09
223,2005.0,2022-01-10
224,1762.0,2022-01-11
225,1527.0,2022-01-12
226,1545.0,2022-01-13
227,1406.0,2022-01-14
228,1143.0,2022-01-15
229,2338.0,2022-01-16
230,2065.0,2022-01-17
231,2383.0,2022-01-18
232,1774.0,2022-01-19
233,3038.0,2022-01-20
234,3502.0,2022-01-21
235,3302.0,2022-01-22
236,1665.0,2022-01-23
237,2934.0,2022-01-24
238,2202.0,2022-01-25
239,2576.0,2022-01-26
240,2214.0,2022-01-27
241,1412.0,2022-01-28
242,1278.0,2022-01-29
243,1253.0,2022-01-30
244,1365.0,2022-01-31
245,1415.0,2022-02-01
246,941.0,2022-02-02
247,895.0,2022-02-03
248,1171.0,2022-02-04
249,771.0,2022-02-05
250,881.0,2022-02-06
251,905.0,2022-02-07
252,1064.0,2022-02-08
253,895.0,2022-02-09
254,1113.0,2022-02-10
255,1078.0,2022-02-11
256,736.0,2022-02-12
257,875.0,2022-02-13
258,894.0,2022-02-14
259,790.0,2022-02-15
260,861.0,2022-02-16
261,914.0,2022-02-17
262,722.0,2022-02-18
263,911.0,2022-02-19
264,881.0,2022-02-20
265,1256.0,2022-02-21
266,928.0,2022-02-22
267,1213.0,2022-02-23
268,1302.0,2022-02-24
269,885.0,2022-02-25
270,786.0,2022-02-26
271,1256.0,2022-02-27
272,1073.0,2022-02-28
273,2445.0,2022-03-01
274,821.0,2022-03-02
275,818.0,2022-03-03
276,843.0,2022-03-04
277,511.0,2022-03-05
278,721.0,2022-03-06
279,1083.0,2022-03-07
280,1065.0,2022-03-08
281,1011.0,2022-03-09
282,834.0,2022-03-10
283,667.0,2022-03-11
284,456.0,2022-03-12
285,547.0,2022-03-13
286,718.0,2022-03-14
287,857.0,2022-03-15
288,944.0,2022-03-16
289,2006.0,2022-03-17
290,1722.0,2022-03-18
291,984.0,2022-03-19
292,1061.0,2022-03-20
293,1039.0,2022-03-21
294,878.0,2022-03-22
295,929.0,2022-03-23
296,657.0,2022-03-24
297,794.0,2022-03-25
298,593.0,2022-03-26
299,940.0,2022-03-27
300,1318.0,2022-03-28
301,1180.0,2022-03-29
302,880.0,2022-03-30
303,1156.0,2022-03-31
304,2350.0,2022-04-01
305,967.0,2022-04-02
306,880.0,2022-04-03
307,890.0,2022-04-04
308,898.0,2022-04-05
309,1287.0,2022-04-06
310,759.0,2022-04-07
311,979.0,2022-04-08
312,466.0,2022-04-09
313,741.0,2022-04-10
314,1259.0,2022-04-11
315,704.0,2022-04-12
316,912.0,2022-04-13
317,831.0,2022-04-14
318,474.0,2022-04-15
319,644.0,2022-04-16
320,528.0,2022-04-17
321,950.0,2022-04-18
322,778.0,2022-04-19
323,1064.0,2022-04-20
324,1055.0,2022-04-21
325,1087.0,2022-04-22
326,839.0,2022-04-23
327,659.0,2022-04-24
328,923.0,2022-04-25
329,957.0,2022-04-26
330,971.0,2022-04-27
331,1801.0,2022-04-28
332,1615.0,2022-04-29
333,1823.0,2022-04-30
334,1962.0,2022-05-01
335,694.0,2022-05-02
336,569.0,2022-05-03
337,714.0,2022-05-04
338,766.0,2022-05-05
339,746.0,2022-05-06
340,899.0,2022-05-07
341,1074.0,2022-05-08
342,2607.0,2022-05-09
343,1938.0,2022-05-10
344,3175.0,2022-05-11
345,2727.0,2022-05-12
346,1636.0,2022-05-13
347,1153.0,2022-05-14
348,1041.0,2022-05-15
349,861.0,2022-05-16
350,987.0,2022-05-17
351,969.0,2022-05-18
352,869.0,2022-05-19
353,815.0,2022-05-20
354,371.0,2022-05-21
355,522.0,2022-05-22
356,812.0,2022-05-23
357,744.0,2022-05-24
358,531.0,2022-05-25
359,1323.0,2022-05-26
360,842.0,2022-05-27
361,444.0,2022-05-28
362,499.0,2022-05-29
363,719.0,2022-05-30
364,645.0,2022-05-31
365,1642.0,2022-06-01
366,704.0,2022-06-02
367,774.0,2022-06-03
368,322.0,2022-06-04
369,485.0,2022-06-05
370,919.0,2022-06-06
371,895.0,2022-06-07
372,632.0,2022-06-08
373,627.0,2022-06-09
374,752.0,2022-06-10
375,1562.0,2022-06-11
376,1377.0,2022-06-12
377,2919.0,2022-06-13
378,2063.0,2022-06-14
379,2037.0,2022-06-15
380,1597.0,2022-06-16
381,803.0,2022-06-17
382,1924.0,2022-06-18
383,1181.0,2022-06-19
384,1275.0,2022-06-20
385,768.0,2022-06-21
386,936.0,2022-06-22
387,623.0,2022-06-23
388,874.0,2022-06-24
389,837.0,2022-06-25
390,771.0,2022-06-26
391,834.0,2022-06-27
392,1018.0,2022-06-28
393,907.0,2022-06-29
394,1308.0,2022-06-30
395,1868.0,2022-07-01
396,489.0,2022-07-02
397,533.0,2022-07-03
398,903.0,2022-07-04
399,1095.0,2022-07-05
400,946.0,2022-07-06
401,759.0,2022-07-07
402,919.0,2022-07-08
403,588.0,2022-07-09
404,334.0,2022-07-10
405,469.0,2022-07-11
406,781.0,2022-07-12
407,980.0,2022-07-13
408,1052.0,2022-07-14
409,973.0,2022-07-15
410,1201.0,2022-07-16
411,1299.0,2022-07-17
412,1992.0,2022-07-18
413,1404.0,2022-07-19
414,1419.0,2022-07-20
415,1059.0,2022-07-21
416,1112.0,2022-07-22
417,966.0,2022-07-23
418,996.0,2022-07-24
419,876.0,2022-07-25
420,992.0,2022-07-26
421,945.0,2022-07-27
422,1227.0,2022-07-28
423,1229.0,2022-07-29
424,831.0,2022-07-30
425,620.0,2022-07-31
426,1799.0,2022-08-01
427,995.0,2022-08-02
428,833.0,2022-08-03
429,875.0,2022-08-04
430,860.0,2022-08-05
431,472.0,2022-08-06
432,343.0,2022-08-07
433,730.0,2022-08-08
434,656.0,2022-08-09
435,870.0,2022-08-10
436,688.0,2022-08-11
437,822.0,2022-08-12
438,343.0,2022-08-13
439,938.0,2022-08-14
440,777.0,2022-08-15
441,549.0,2022-08-16
442,698.0,2022-08-17
443,849.0,2022-08-18
444,872.0,2022-08-19
445,694.0,2022-08-20
446,946.0,2022-08-21
447,1123.0,2022-08-22
448,781.0,2022-08-23
449,778.0,2022-08-24
450,828.0,2022-08-25
451,1247.0,2022-08-26
452,667.0,2022-08-27
453,453.0,2022-08-28
454,849.0,2022-08-29
455,1024.0,2022-08-30
456,1160.0,2022-08-31
457,1868.0,2022-09-01
458,823.0,2022-09-02
459,324.0,2022-09-03
460,547.0,2022-09-04
461,578.0,2022-09-05
462,835.0,2022-09-06
463,760.0,2022-09-07
464,930.0,2022-09-08
465,765.0,2022-09-09
466,447.0,2022-09-10
467,704.0,2022-09-11
468,677.0,2022-09-12
469,1020.0,2022-09-13
470,913.0,2022-09-14
471,1561.0,2022-09-15
472,652.0,2022-09-16
473,743.0,2022-09-17
474,1506.0,2022-09-18
475,1099.0,2022-09-19
476,965.0,2022-09-20
477,1356.0,2022-09-21
478,1304.0,2022-09-22
479,1280.0,2022-09-23
480,359.0,2022-09-24
481,964.0,2022-09-25
482,870.0,2022-09-26
483,904.0,2022-09-27
484,890.0,2022-09-28
485,793.0,2022-09-29
486,557.0,2022-09-30
487,76.0,2022-10-01
488,296.0,2022-10-02
489,285.0,2022-10-03
490,572.0,2022-10-04
491,647.0,2022-10-05
492,342.0,2022-10-06
493,375.0,2022-10-07
494,268.0,2022-10-08
495,250.0,2022-10-09
496,382.0,2022-10-10
497,336.0,2022-10-11
498,412.0,2022-10-12
499,831.0,2022-10-13
500,533.0,2022-10-14
501,129.0,2022-10-15
502,453.0,2022-10-16
503,308.0,2022-10-17
504,600.0,2022-10-18
505,348.0,2022-10-19
506,507.0,2022-10-20
507,301.0,2022-10-21
508,300.0,2022-10-22
509,413.0,2022-10-23
510,357.0,2022-10-24
511,827.0,2022-10-25
512,1210.0,2022-10-26
513,877.0,2022-10-27
514,825.0,2022-10-28
515,1075.0,2022-10-29
516,600.0,2022-10-30
517,907.0,2022-10-31
518,2064.0,2022-11-01
519,874.0,2022-11-02
520,927.0,2022-11-03
521,636.0,2022-11-04
522,564.0,2022-11-05
523,610.0,2022-11-06
524,1279.0,2022-11-07
525,2006.0,2022-11-08
526,2894.0,2022-11-09
527,2332.0,2022-11-10
528,1642.0,2022-11-11
529,787.0,2022-11-12
530,1115.0,2022-11-13
531,1015.0,2022-11-14
532,833.0,2022-11-15
533,871.0,2022-11-16
534,798.0,2022-11-17
